Date,Open,High,Low,Close
Mar-20,29610.15,29913.1,22699.05,27319.2
Feb-20,30865.05,31205.9,29151.8,29310.25
Jan-20,30202.75,31546.8,29660.1,30775.3
Dec-19,30977,31018.55,29964.8,30121.5
Nov-19,32396.1,32644.9,30745.15,30975.5
Oct-19,31130.25,32533.75,30022.8,32319.75
Sep-19,29116.45,31813.8,28449.35,31134.5
Aug-19,29011.65,29365.1,28099.15,29257.35
Jul-19,29630.1,30151.3,28514.3,29065.95
Jun-19,30019.95,30466.9,29285.65,29546.05
May-19,30349.5,30824.95,28988.55,29850.4
Apr-19,30402.6,30828.1,29731.25,30336.9
Mar-19,29335.2,30628.95,29334.45,30321.4
Feb-19,29936.1,30536.6,28887.7,29262.85
Jan-19,30579.1,31045.9,29337.35,29800.55
Dec-18,30312,31064.35,28960.65,30516.65
Nov-18,28628.25,30438.55,28161.7,30126.25
Oct-18,29908.9,30029.4,26889.65,28547.1
Sep-18,33167.9,33167.9,29372.7,29757.7
Aug-18,31085.85,33067.15,30886.45,32911.55
Jul-18,29025.3,31038.25,28601.2,31007.25
Jun-18,28839,29161.05,28200.2,28966
May-18,28870.7,29133.8,28104.85,28814.3
Apr-18,26169.35,28832,26151,28772.75
Mar-18,26489.6,26817.45,25695.95,26127.4
Feb-18,27190.45,28099.6,26193.15,26513.7
Jan-18,26885.6,27924.2,26474.05,27127.3
Dec-17,25886.75,26880.1,25526.55,26851.5
Nov-17,25784.5,26152.5,25166.2,25820.05
Oct-17,24764.9,26128.2,24547.35,25687.7
Sep-17,25835.25,25975.65,24427.3,24480.8
Aug-17,25705.75,25884.45,24665.45,25834.9
Jul-17,27835.35,29037.85,25161.15,25744.35
Jun-17,25857.35,26818.45,25672.05,26752.05
May-17,23764.25,26080.8,23386.5,25841.8
Apr-17,23641.25,24388.6,23084.8,23675.4
Mar-17,22378.35,23848.95,22097.95,23542.3
Feb-17,21930.65,23602,21845,22338.2
Jan-17,20793.35,22312.2,20574.7,21832.65
Dec-16,20523.4,20805.9,19457.25,20754.1
Nov-16,21529.75,22113.55,19659.4,20487.9
Oct-16,21733.75,21878.55,21086.6,21481.95
Sep-16,22666.85,23219.3,21445.5,21542.05
Aug-16,22267.15,22692.1,21789,22609.3
Jul-16,21517.7,22377.5,21517.7,22228.85
Jun-16,20618.15,21703.55,20489.8,21608.45
May-16,19687.55,21022.4,19124.6,20521.65
Apr-16,19672.25,20349.05,19219.9,19737.7
Mar-16,18630.55,19960.25,18630.55,19764.15
Feb-16,19133.1,19532.5,17406.9,18331.6
Jan-16,20181.5,20258.05,18416.6,19132.65
Dec-15,20404.2,20689.2,19415.3,20192.65
Nov-15,20085.25,20690.85,19828.45,20278.55
Oct-15,19970.5,20951.5,19953.45,20118.3
Sep-15,19961.25,20164.2,18991.95,19956.65
Aug-15,20942.8,21154.55,19354.55,20111.5
Jul-15,20170.7,20968.9,19761.9,20920.45
Jun-15,20033.8,20414.6,18731.6,20155.75
May-15,19606.65,20352.6,19341.25,20107.3
Apr-15,19887.5,21659.5,19429.75,19510.7
Mar-15,21025.15,21197.1,19362.2,19879.6
Feb-15,21095.35,22716.7,20702.6,21102.35
Jan-15,20085.95,21355.15,19748.8,21165.75
Dec-14,19993.1,21526.25,19767.6,20126.2
Nov-14,19450.7,20469,19308.65,20027.45
Oct-14,19853,19858.4,18720.95,19393.9
Sep-14,19399.25,20277.5,19104.75,19876.05
Aug-14,18724.5,19353.65,18361.25,19308.6
Jul-14,17517.55,19014.65,17407.2,18778.75
Jun-14,17872,18139.3,17029.15,17434
May-14,17611.05,19215.1,17356.4,17831.6
Apr-14,18119.2,18315.55,17465.6,17573.25
Mar-14,16859.8,18290.6,16786.8,18085.25
Feb-14,16793.2,17019.1,16320,16845.7
Jan-14,17054.6,17192.7,16509.3,16861.2
Dec-13,17036.35,17098.75,16413.1,17024.1
